product_name,item_link,image_src,price,prev_price,item_review,rating,per_discount
"EEFA 32LN4100D - 32"" HD LED Digital TV - Black",https://www.jumia.co.ke/eefa-32ln4100d-32-hd-led-digital-tv-black-24618898.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/881642/1.jpg?3208,"KSh 10,999","KSh 12,999",189,4.4 out of 5,15%
"Haier 6005  - 24"" HD LED Digital TV - Black",https://www.jumia.co.ke/haier-6005-24-hd-led-digital-tv-black-29881900.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/918892/1.jpg?5169,"KSh 8,495","KSh 10,500",0,0 out of 5,19%
EEFA 43LN4100S - 43'' Smart Android Digital LED TV - Black,https://www.jumia.co.ke/43ln4100s-43-smart-android-digital-led-tv-black.-eefa-mpg208324.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/038952/1.jpg?9525,"KSh 23,999","KSh 24,199",22,4.6 out of 5,1%
"Hifinit By Haier 24"" LED HD Digital TV - Black",https://www.jumia.co.ke/hifinit-by-haier-24-led-hd-digital-tv-black-23244957.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/944232/1.jpg?6945,"KSh 7,399","KSh 13,999",1151,4.1 out of 5,47%
"UKA 32"" HD Smart LED TV - Black",https://www.jumia.co.ke/uka-32-hd-smart-led-tv-black-10805077.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/050801/1.jpg?4593,"KSh 13,999","KSh 20,000",1008,4 out of 5,30%
"Skyworth 32E10 - 32"" Super Narrow Google Android Smart LED TV - Black",https://www.jumia.co.ke/skyworth-32e10-32-super-narrow-google-android-smart-led-tv-black-30124267.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/242103/1.jpg?7744,"KSh 14,999","KSh 15,999",6,4.2 out of 5,6%
UKA 32'' HD Digital TV - Black,https://www.jumia.co.ke/uka-32-hd-digital-tv-black-10795460.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/459701/1.jpg?5630,"KSh 11,499","KSh 16,000",2683,4.2 out of 5,28%
"Hisense 32N50HTS, 32"" HD - Digital LED TV - Black",https://www.jumia.co.ke/hisense-32n50hts-32-hd-digital-led-tv-black-29930213.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/203992/1.jpg?9848,"KSh 14,990","KSh 18,000",0,0 out of 5,17%
"Haier LE32KA6500A - 32"" Full HD LED Ultra Slim Smart TV - Black",https://www.jumia.co.ke/haier-le32ka6500a-32-full-hd-led-ultra-slim-smart-tv-black-29882441.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/428892/1.jpg?5169,"KSh 14,995","KSh 24,500",4,4.5 out of 5,39%
"TCL 49"" 49S6800 Android AI Smart TV - Black",https://www.jumia.co.ke/tcl-49-49s6800-android-ai-smart-tv-black-29051729.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/715092/1.jpg?5627,"KSh 40,690","KSh 58,500",0,0 out of 5,30%
"Bruhm BFP-55LE4STW - 55"" 4k UHD LED Smart TV",https://www.jumia.co.ke/bruhm-bfp-55le4stw-55-4k-uhd-led-smart-tv-27789297.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/298772/1.jpg?5007,"KSh 47,900","KSh 72,500",0,0 out of 5,34%
"Vision Plus VP8855K - 55"" - 4K Android Slim LED TV + Dolby Sound - Black",https://www.jumia.co.ke/vp8855k-55-4k-android-slim-led-tv-dolby-sound-black-vision-plus-mpg163143.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/863831/1.jpg?4996,"KSh 39,999","KSh 59,999",32,3.9 out of 5,33%
"Samsung UA32N5000AK - 32"" - HD LED Digital TV - Black",https://www.jumia.co.ke/ua32n5000ak-32-hd-led-digital-tv-black-samsung-mpg219396.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/010362/1.jpg?7313,"KSh 17,999","KSh 23,999",1,4 out of 5,25%
"Royal 22"" LED_TV DIGITAL_SCREEN_TV Black",https://www.jumia.co.ke/royal-22-ledtv-digitalscreentv-black-30069237.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/296003/1.jpg?3348,"KSh 6,570","KSh 7,000",1,2 out of 5,6%
"TCL 24D3101 - 24"" HD Digital LED TV - Black",https://www.jumia.co.ke/tcl-24-hd-digital-led-tv-black-tcl-mpg122814.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/976382/1.jpg?0924,"KSh 9,950","KSh 15,000",3,4.7 out of 5,34%
"Skyworth 32WH3 - 32"" Super Narrow Bezel Digital HD LED TV - Black",https://www.jumia.co.ke/skyworth-32wh3-32-super-narrow-bezel-digital-hd-led-tv-black-28369722.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/796382/1.jpg?9652,"KSh 11,499","KSh 12,459",19,4.1 out of 5,8%
"Samsung 32T5300 32"" Smart LED Full HD TV - Black",https://www.jumia.co.ke/32t5300-32-hd-flat-smart-digital-tv-2-years-warranty-samsung-mpg230561.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/690992/1.jpg?0414,"KSh 22,490","KSh 30,000",0,0 out of 5,25%
"Sony 40"" 40W650D Smart LED Full HD TV - Black",https://www.jumia.co.ke/sony-40-40w650d-smart-led-full-hd-tv-black-30256377.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/365203/1.jpg?6987,"KSh 32,499","KSh 40,000",0,0 out of 5,19%
"Royal  22RL19HT2-22"" Connectivity: HDMI, USB-HD Content",https://www.jumia.co.ke/royal-22rl19ht2-22-connectivity-hdmi-usb-hd-content-30537724.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/773503/1.jpg?3607,"KSh 6,899","KSh 10,000",1,5 out of 5,31%
"Sony 40"" 40R350E Digital LED Full HD TV - Black",https://www.jumia.co.ke/sony-40-40r350e-digital-led-full-hd-tv-black-30256376.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/365203/1.jpg?6926,"KSh 29,299","KSh 40,000",0,0 out of 5,27%
"Royal 43"" FHD4300SAS1-JM Smart LED TV - Black",https://www.jumia.co.ke/royal-43-fhd4300sas1-jm-smart-led-tv-black-28300757.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/700382/1.jpg?6445,"KSh 25,995","KSh 36,500",1,5 out of 5,29%
"TCL 43S6500 - 43"" Android AI Smart TV - Black",https://www.jumia.co.ke/tcl-43s6500-43-android-ai-smart-tv-black-29051725.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/715092/1.jpg?5589,"KSh 33,390","KSh 33,495",0,0 out of 5,1%
"UKA 50"" UHD Smart LED TV - Black",https://www.jumia.co.ke/uka-50-uhd-smart-led-tv-black-10795464.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/459701/1.jpg?3517,"KSh 28,999","KSh 47,000",347,4 out of 5,38%
TCL 50P8M - 50’’ 4K UHD Android TV - Black,https://www.jumia.co.ke/50p8m-50-4k-uhd-android-tv-black-tcl-mpg214263.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/069462/1.jpg?3085,"KSh 47,990","KSh 57,400",10,4.7 out of 5,16%
"Royal 32"" HD3200SAT1-JM Smart LED TV - Black",https://www.jumia.co.ke/royal-32-hd3200sat1-jm-smart-led-tv-black-29905055.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/050992/1.jpg?6629,"KSh 13,995","KSh 20,000",0,0 out of 5,30%
"TCL 32D3000 - 32"" HD Digital LED TV - Black",https://www.jumia.co.ke/32d3000-32-hd-digital-led-tv-black-tcl-mpg113107.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/943462/1.jpg?5611,"KSh 13,830","KSh 18,700",41,4.4 out of 5,26%
"TCL S68A - 32"" Frameless Smart Android TV - Black",https://www.jumia.co.ke/32s6800-smart-android-digital-led-roku-tv-black-tcl-mpg173682.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/876382/1.jpg?5610,"KSh 17,890","KSh 24,500",120,4.3 out of 5,27%
"Vision Plus VP8843C - 43"" - FHD Smart Curved, Android LED TV - Black + FREE WALL MOUNT",https://www.jumia.co.ke/vp8843c-43-fhd-smart-curved-android-led-tv-black.-vision-plus-mpg126173.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/627642/1.jpg?7447,"KSh 30,999","KSh 35,999",20,4.2 out of 5,14%
"Bruhm BTF-32SN - 32"" Slim LED Digital TV - Black",https://www.jumia.co.ke/bruhm-btf-32sn-32-slim-led-digital-tv-black-30256365.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/365203/1.jpg?4113,"KSh 12,495","KSh 15,900",0,0 out of 5,21%
"Royal 22RL19HT2-22"" LED FULL SCREEN TV-multimedia Entertainment",https://www.jumia.co.ke/royal-22rl19ht2-22-led-full-screen-tv-multimedia-entertainment-30537812.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/873503/1.jpg?3005,"KSh 6,999","KSh 12,000",0,0 out of 5,42%
"Bruhm BTF- 55UDTSP - 55"" 4K LED SMART AND DIGITAL TV",https://www.jumia.co.ke/bruhm-btf-55udtsp-55-4k-led-smart-and-digital-tv-19605207.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/250691/1.jpg?5623,"KSh 66,500","KSh 66,500",0,0 out of 5,0%
Generic AC to 12V DC Car Charger Cigarette Lighter Adapter Converter EU Plug,https://www.jumia.co.ke/ac-to-12v-dc-car-charger-cigarette-lighter-adapter-converter-eu-plug-generic-mpg209142.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/828832/1.jpg?9086,KSh 120,KSh 150,1,3 out of 5,20%
"Vitron 22"" LED TV DIGITAL FULL SCREEN -[HTC2246]",https://www.jumia.co.ke/22-led-tv-digital-full-screen-htc2246-vitron-mpg220085.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/871772/1.jpg?1206,"KSh 6,600","KSh 8,999",20,4.3 out of 5,27%
"Vision Plus VP8832S, 32"", Frame-less Smart Android LED TV - Black",https://www.jumia.co.ke/32-frameless-smart-android-led-tv-black-vision-plus-mpg224543.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/852182/1.jpg?7399,"KSh 14,995","KSh 15,499",118,4.3 out of 5,3%
"Hisense Hisense 43B6600PA - 43"" - Smart Andriod TV-BLACK",https://www.jumia.co.ke/hisense-hisense-43b6600pa-43-smart-andriod-tv-black-29302052.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/020392/1.jpg?0086,"KSh 36,190","KSh 50,000",0,0 out of 5,28%
"Vision Plus VP8832DB, 32"", Digital HD LED TV - Black  + Wall Bracket",https://www.jumia.co.ke/vp8832d-32-digital-hd-led-tv-black-vision-plus-mpg54008.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/237722/1.jpg?7308,"KSh 11,790","KSh 13,299",1177,4.3 out of 5,11%
"Ctroniq 55CT8200 - 55"" 4K Ultra HD Smart LED TV - Black",https://www.jumia.co.ke/ctroniq-55ct8200-55-4k-ultra-hd-smart-led-tv-black-19521515.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/512591/1.jpg?3641,"KSh 42,999","KSh 69,999",17,3.9 out of 5,39%
"Vision Plus VP8832S 32"" - HD Android Smart TV + Free Wall Mount - Black)",https://www.jumia.co.ke/vp8832s-32-hd-android-tv-free-wall-mount-black-vision-plus-mpg207373.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/971772/1.jpg?1244,"KSh 14,995","KSh 17,999",245,4.4 out of 5,17%
"Nasco 32C1NA -  32"" - Digital  - HD LED TV - Black",https://www.jumia.co.ke/32c1na-32-digital-hd-led-tv-black-nasco-mpg170852.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/519741/1.jpg?2439,"KSh 15,999","KSh 15,999",0,0 out of 5,0%
"Hisense 32N50HTS, 32"" HD, Digital LED TV - Black",https://www.jumia.co.ke/hisense-32n50hts-32-hd-digital-led-tv-black-29930151.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/103992/1.jpg?9849,"KSh 14,900","KSh 17,499",0,0 out of 5,15%
"LG 32LM630BPVB - 32"" Smart LED TV - Inbuilt Wi-Fi - New Model - Black",https://www.jumia.co.ke/32lm630bpvb-32-smart-led-tv-inbuilt-wi-fi-new-model-black-lg-mpg212864.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/884562/2.jpg?4555,"KSh 23,159","KSh 28,599",19,4.6 out of 5,19%
"Sony 40W650D, 40"", Full HD Digital LED Smart TV - Black",https://www.jumia.co.ke/40w650d-40-full-hd-digital-led-smart-tv-black-sony-mpg116509.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/45697/1.jpg?9292,"KSh 33,899","KSh 61,250",47,4.3 out of 5,45%
"Hisense 32N50HTS, 32"" HD, Digital LED TV - Black",https://www.jumia.co.ke/hisense-32n50hts-32-hd-digital-led-tv-black-29930151.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/103992/1.jpg?9849,"KSh 14,900","KSh 17,499",0,0 out of 5,15%
LG 43” Smart UHD 4K LED TV – Black,https://www.jumia.co.ke/43-smart-uhd-4k-led-tv-hdr-black-lg-mpg120645.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/809582/1.jpg?1645,"KSh 40,999","KSh 40,999",0,0 out of 5,0%
"Bruhm BTF- 43SN - 43"" - Slim LED Digital TV - Black.",https://www.jumia.co.ke/bruhm-btf-43sn-43-slim-led-digital-tv-black.-29735569.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/553792/1.jpg?7206,"KSh 21,395","KSh 25,990",0,0 out of 5,18%
EEFA 43LN4100S - 43'' Smart Android Digital LED TV - Black,https://www.jumia.co.ke/43ln4100s-43-smart-android-digital-led-tv-black.-eefa-mpg208324.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/038952/1.jpg?9525,"KSh 23,999","KSh 24,199",22,4.6 out of 5,1%
"Hisense 32"" 32B6000 Smart HD LED TV - Black",https://www.jumia.co.ke/hisense-32-32b6000-smart-hd-led-tv-black-30315185.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/151303/1.jpg?7077,"KSh 18,299","KSh 25,000",0,0 out of 5,27%
"32"" LED Screen TV DIGITAL FULL SCREEN, HDMI Port Black",https://www.jumia.co.ke/jcv-32-led-screen-tv-digital-full-screen-hdmi-port-black-30069247.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/296003/1.jpg?3348,"KSh 11,999","KSh 15,000",0,0 out of 5,20%
"Hisense 32N50HTS, 32"" HD - Digital LED TV - Black",https://www.jumia.co.ke/hisense-32n50hts-32-hd-digital-led-tv-black-29930213.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/203992/1.jpg?9848,"KSh 14,990","KSh 18,000",0,0 out of 5,17%
"Vision Plus 32"" SMART ANDROID  HD READY TV, NETFLIX -Black",https://www.jumia.co.ke/32-smart-android-hd-led-tv-vp-8832sa-black-vision-plus-mpg174128.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/842092/1.jpg?6578,"KSh 15,999","KSh 21,999",8,4.6 out of 5,27%
"Drom Power 22"" Solar HD Digital TV DR22 - Black",https://www.jumia.co.ke/drom-power-22-solar-hd-digital-tv-dr22-black-29111936.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/911192/1.jpg?7206,"KSh 9,499","KSh 9,500",0,0 out of 5,1%
"Vision Plus VP8855K - 55"" - 4K Android Slim LED TV + Dolby Sound - Black",https://www.jumia.co.ke/vp8855k-55-4k-android-slim-led-tv-dolby-sound-black-vision-plus-mpg163143.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/863831/1.jpg?4996,"KSh 39,999","KSh 59,999",32,3.9 out of 5,33%
"Royal  22RL19HT2-22"" Connectivity: HDMI, USB-HD Content",https://www.jumia.co.ke/royal-22rl19ht2-22-connectivity-hdmi-usb-hd-content-30537724.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/773503/1.jpg?3607,"KSh 6,899","KSh 10,000",1,5 out of 5,31%
"Sony 32R300E- 32"" - Digital HD LED TV - Black",https://www.jumia.co.ke/32r300e-32-digital-hd-led-tv-black-sony-mpg217989.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/482462/1.jpg?8785,"KSh 18,450","KSh 30,000",15,4.8 out of 5,38%
"Haier 24F6000 - 24"" HD LED Digital TV - Black",https://www.jumia.co.ke/haier-24f6000-24-hd-led-digital-tv-black-29881877.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/818892/1.jpg?5169,"KSh 9,195","KSh 16,000",0,0 out of 5,43%
Vitron HTC4368FS - 43'' SMART TV FULL HD-BLACK--,https://www.jumia.co.ke/htc4368fs-43-smart-tv-full-hd-black-vitron-mpg217307.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/368472/1.jpg?3286,"KSh 23,900","KSh 23,900",0,0 out of 5,0%
"Haier LE32U5500  - 32"" HD Built-In Receiver Slim Digital TV -Black",https://www.jumia.co.ke/haier-le32u5500-32-hd-built-in-receiver-slim-digital-tv-black-29882440.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/428892/1.jpg?5169,"KSh 13,095","KSh 21,500",0,0 out of 5,39%
TCL 32D3001- 32INCH- HDDigital LED TV PLUS FREE 32GB FLASHDISK ,https://www.jumia.co.ke/tcl-32d3001-32inch-hddigital-led-tv-plus-free-32gb-flashdisk-29276519.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/567292/1.jpg?7210,"KSh 14,299","KSh 28,300",2,4.5 out of 5,49%
"Hisense 32"" 32B6600PA Smart Android TV HD TV, 24 +1 Months Warranty",https://www.jumia.co.ke/32-32b6600pa-smart-android-tv-hd-tv-24-1-months-warranty-hisense-mpg230346.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/451092/1.jpg?8645,"KSh 19,798","KSh 25,000",0,0 out of 5,21%
"Samsung UA32N5000AK - 32"" - HD LED Digital TV - Black",https://www.jumia.co.ke/ua32n5000ak-32-hd-led-digital-tv-black-samsung-mpg217971.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/009362/1.jpg?6285,"KSh 17,999","KSh 17,999",0,0 out of 5,0%
"Syinix SMART ANDROID TV, NETFLIX, YOU-TUBE TV ""32""",https://www.jumia.co.ke/syinix-smart-android-tv-netflix-you-tube-tv-32-29809625.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/690892/1.jpg?1550,"KSh 16,999","KSh 20,000",0,0 out of 5,15%
"CTC 40"" AP-40 LED HD Digital TV - Black",https://www.jumia.co.ke/40-ap-40-led-hd-digital-tv-black-ctc-mpg248088.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/303992/1.jpg?3168,"KSh 22,000","KSh 22,000",0,0 out of 5,0%
"Hisense 55B7100UW - 55"" UHD 4K LED Smart TV - Series 7 - New Model 2019 - Black",https://www.jumia.co.ke/55b7100uw-55-uhd-4k-led-smart-tv-series-7-new-model-2019-black-hisense-mpg212492.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/884562/1.jpg?2725,"KSh 49,179","KSh 60,599",18,4.8 out of 5,19%
"Syinix SMART ANDROID TV, NETFLIX, YOU-TUBE TV  ""32""",https://www.jumia.co.ke/32t730-32-smart-tv-black-syinix-mpg227124.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/046182/1.jpg?9484,"KSh 17,999","KSh 24,999",11,3.8 out of 5,28%
"Synix 43"" SMART ANDROID TV (NETFLIX, YOUTUBE,HDMI,USB)",https://www.jumia.co.ke/synix-43-smart-android-tv-netflix-youtubehdmiusb-30452416.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/425403/1.jpg?4191,"KSh 26,700","KSh 35,000",0,0 out of 5,24%
"Syinix 43"" Smart Android Full HD LED TV - Frameless - NetFlix, Youtube - Model 43A1S ",https://www.jumia.co.ke/syinix-43-smart-android-full-hd-led-tv-frameless-netflix-youtube-model-43a1s-30177119.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/177103/1.jpg?9507,"KSh 25,999","KSh 25,999",0,0 out of 5,0%
Skyworth Skyworth32WH3 - 32 SuperNarrow Bezel Digital HD LED TV ,https://www.jumia.co.ke/skyworth-skyworth32wh3-32-supernarrow-bezel-digital-hd-led-tv-29781330.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/318792/1.jpg?3831,"KSh 12,599","KSh 15,999",0,0 out of 5,21%
"LG 43LM6300PVB, 43”, SMART TV, ACTIVE HDR  – Black",https://www.jumia.co.ke/43lm6300pvb-43-fhd-smart-led-tv-black-lg-mpg212868.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/920672/2.jpg?6202,"KSh 36,999","KSh 45,000",11,4.9 out of 5,18%
"Vitron HTC 3246, 32"", LED Digital TV - BLACK",https://www.jumia.co.ke/32-hd-led-digital-tv-htc-3246-black-vitron-mpg222520.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/147842/1.jpg?2150,"KSh 11,790","KSh 14,999",32,4.5 out of 5,21%
"Hisense  32B6000HW , 32"" Smart Full HD Digital LED TV - 2020 Model",https://www.jumia.co.ke/hisense-32b6000hw-32-smart-full-hd-digital-led-tv-2020-model-30452428.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/425403/1.jpg?4191,"KSh 18,699","KSh 22,399",0,0 out of 5,17%
"Royal 43"" FHD4300SAS1-JM Smart LED TV - Black",https://www.jumia.co.ke/royal-43-fhd4300sas1-jm-smart-led-tv-black-28300757.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/700382/1.jpg?6445,"KSh 25,995","KSh 36,500",1,5 out of 5,29%
Hisense 50B7100UW 50'' Smart UHD 4K LED TV - Black,https://www.jumia.co.ke/50b7100uw-50-4k-ultra-hd-smart-tv-hisense-mpg223229.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/637192/1.jpg?5644,"KSh 40,399","KSh 40,399",0,0 out of 5,0%
"Vitron 24” Inches,LED DIGITAL TV -USB AND HDMI PORT",https://www.jumia.co.ke/vitron-24-inchesled-digital-tv-usb-and-hdmi-port-30537423.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/473503/1.jpg?1150,"KSh 8,899","KSh 15,000",0,0 out of 5,41%
"Hisense 49B6000PW - 49"" - Smart Full HD Digital LED TV - Black - New 2019 Model",https://www.jumia.co.ke/49b6000pw-49-smart-full-hd-digital-led-tv-black-new-2019-model-hisense-mpg219333.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/296672/1.jpg?8287,"KSh 37,899","KSh 45,000",0,0 out of 5,16%
Glaze 40” HD LED Digital TV - Black,https://www.jumia.co.ke/40-hd-led-digital-tv-black-glaze-mpg229651.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/700382/1.jpg?9171,"KSh 17,895","KSh 24,500",4,3 out of 5,27%
"Hisense 32N50HTS, 32"" HD, Digital LED TV - Black",https://www.jumia.co.ke/hisense-32n50hts-32-hd-digital-led-tv-black-29938388.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/383992/1.jpg?6796,"KSh 14,999","KSh 17,000",2,1 out of 5,12%
"Synix 32"" SMART ANDROID TV (NETFLIX, YOUTUBE,HDMI,USB)",https://www.jumia.co.ke/synix-32-smart-android-tv-netflix-youtubehdmiusb-30452414.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/425403/1.jpg?4191,"KSh 16,500","KSh 21,000",0,0 out of 5,21%
"Skyworth 32WH3 - 32"" Digital LED TV - Black",https://www.jumia.co.ke/skyworth-32wh3-32-digital-led-tv-black-29173648.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/637192/1.jpg?5584,"KSh 12,999","KSh 17,999",3,2.3 out of 5,28%
"Vitron HTC2246 22"" LED TV DIGITAL FULL SCREEN -HTC2246",https://www.jumia.co.ke/htc2246-22-led-tv-digital-full-screen-htc2246-vitron-mpg220092.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/871772/1.jpg?1207,"KSh 6,599","KSh 8,900",3,4.3 out of 5,26%
"Sonar LD 32T81 - 32""  Digital LED TV -  Black",https://www.jumia.co.ke/ld-32t81-32-digital-led-tv-black.-sonar-mpg223138.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/532872/1.jpg?4663,"KSh 11,999","KSh 11,999",0,0 out of 5,0%
